Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:607330	LATHOSTEROLOSIS SC5D DEFICIENCY	MIM:602286	STEROL C5-DESATURASE-LIKE 3-@BETA-HYDROXYSTEROID-DELTA-5-DESATURASE DELTA-5-DESATURASE LATHOSTEROL DEHYDROGENASE ERG3, CANDIDA GLABRATA, HOMOLOG OF	MIM:602286.0001 / MIM:602286.0002; MIM:602286.0003 / MIM:602286.0003	SC5DL	HP:0000007	Autosomal recessive inheritance																PMID:12189593; PMID:12812989; PMID:17853487		
MIM:607330	LATHOSTEROLOSIS SC5D DEFICIENCY	MIM:602286	STEROL C5-DESATURASE-LIKE 3-@BETA-HYDROXYSTEROID-DELTA-5-DESATURASE DELTA-5-DESATURASE LATHOSTEROL DEHYDROGENASE ERG3, CANDIDA GLABRATA, HOMOLOG OF	MIM:602286.0001 / MIM:602286.0002	SC5DL	HP:0000079	Abnormality of the urinary tract											1/3					PMID:15580635; PMID:17853487		
MIM:607330	LATHOSTEROLOSIS SC5D DEFICIENCY	MIM:602286	STEROL C5-DESATURASE-LIKE 3-@BETA-HYDROXYSTEROID-DELTA-5-DESATURASE DELTA-5-DESATURASE LATHOSTEROL DEHYDROGENASE ERG3, CANDIDA GLABRATA, HOMOLOG OF	MIM:602286.0001 / MIM:602286.0002; MIM:602286.0003 / MIM:602286.0003	SC5DL	HP:0000156	High-arched palate											2/3					PMID:12189593; PMID:12812989		
MIM:607330	LATHOSTEROLOSIS SC5D DEFICIENCY	MIM:602286	STEROL C5-DESATURASE-LIKE 3-@BETA-HYDROXYSTEROID-DELTA-5-DESATURASE DELTA-5-DESATURASE LATHOSTEROL DEHYDROGENASE ERG3, CANDIDA GLABRATA, HOMOLOG OF	MIM:602286.0001 / MIM:602286.0002; MIM:602286.0003 / MIM:602286.0003	SC5DL	HP:0000210	Micrognathia	FMA:54396	Jaw	PATO:0000587	decreased size							2/3					PMID:12189593; PMID:12812989		
MIM:607330	LATHOSTEROLOSIS SC5D DEFICIENCY	MIM:602286	STEROL C5-DESATURASE-LIKE 3-@BETA-HYDROXYSTEROID-DELTA-5-DESATURASE DELTA-5-DESATURASE LATHOSTEROL DEHYDROGENASE ERG3, CANDIDA GLABRATA, HOMOLOG OF	MIM:602286.0001 / MIM:602286.0002	SC5DL	HP:0000213	Thin lips	FMA:59816	Lip	PATO:0000592	decreased thickness							1/3					PMID:12189593		
MIM:607330	LATHOSTEROLOSIS SC5D DEFICIENCY	MIM:602286	STEROL C5-DESATURASE-LIKE 3-@BETA-HYDROXYSTEROID-DELTA-5-DESATURASE DELTA-5-DESATURASE LATHOSTEROL DEHYDROGENASE ERG3, CANDIDA GLABRATA, HOMOLOG OF	MIM:602286.0001 / MIM:602286.0002	SC5DL	HP:0000215	Prominent upper lip	FMA:59817	Upper lip	PATO:0001482	prominent							1/3					PMID:12189593		
MIM:607330	LATHOSTEROLOSIS SC5D DEFICIENCY	MIM:602286	STEROL C5-DESATURASE-LIKE 3-@BETA-HYDROXYSTEROID-DELTA-5-DESATURASE DELTA-5-DESATURASE LATHOSTEROL DEHYDROGENASE ERG3, CANDIDA GLABRATA, HOMOLOG OF	MIM:602286.0001 / MIM:602286.0002; MIM:602286.0003 / MIM:602286.0003	SC5DL	HP:0000252	Microcephaly	FMA:46565	Skull	PATO:0000587	decreased size							3/3					PMID:12812989; PMID:17853487		
MIM:607330	LATHOSTEROLOSIS SC5D DEFICIENCY	MIM:602286	STEROL C5-DESATURASE-LIKE 3-@BETA-HYDROXYSTEROID-DELTA-5-DESATURASE DELTA-5-DESATURASE LATHOSTEROL DEHYDROGENASE ERG3, CANDIDA GLABRATA, HOMOLOG OF	MIM:602286.0001 / MIM:602286.0002	SC5DL	HP:0000286	Epicanthal folds											1/3					PMID:17853487		
MIM:607330	LATHOSTEROLOSIS SC5D DEFICIENCY	MIM:602286	STEROL C5-DESATURASE-LIKE 3-@BETA-HYDROXYSTEROID-DELTA-5-DESATURASE DELTA-5-DESATURASE LATHOSTEROL DEHYDROGENASE ERG3, CANDIDA GLABRATA, HOMOLOG OF	MIM:602286.0001 / MIM:602286.0002	SC5DL	HP:0000314	Bitemporal narrowing											1/3					PMID:17853487		
MIM:607330	LATHOSTEROLOSIS SC5D DEFICIENCY	MIM:602286	STEROL C5-DESATURASE-LIKE 3-@BETA-HYDROXYSTEROID-DELTA-5-DESATURASE DELTA-5-DESATURASE LATHOSTEROL DEHYDROGENASE ERG3, CANDIDA GLABRATA, HOMOLOG OF	MIM:602286.0001 / MIM:602286.0002	SC5DL	HP:0000340	Sloping forehead											1/3					PMID:17853487		
